,Div,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,bet_favorite,compare
274,F2,Niort,Nancy,D,2.87,2.9,2.75,A,False
275,F2,Rodez,Guingamp,H,3.0,3.0,2.5,A,False
276,F2,Troyes,Paris FC,D,1.61,3.6,6.0,H,False
277,F2,Ajaccio,Lorient,H,3.1,3.0,2.45,A,False
278,F2,Lens,Orleans,H,1.53,3.8,6.5,H,True
279,F2,Ajaccio,Chateauroux,A,1.65,3.6,5.25,H,False
280,F2,Amiens,Nancy,H,2.1,3.4,3.4,H,True
281,F2,Auxerre,Sochaux,A,2.0,3.2,4.0,H,False
282,F2,Chambly,Paris FC,A,2.7,3.0,2.8,H,False
283,F2,Clermont,Caen,D,2.15,3.1,3.6,H,False
284,F2,Guingamp,Niort,A,1.53,3.8,6.5,H,False
285,F2,Rodez,Grenoble,H,2.25,3.0,3.5,H,True
286,F2,Valenciennes,Pau FC,H,1.9,3.3,4.33,H,True
287,F2,Troyes,Le Havre,H,2.05,3.2,3.8,H,True
288,F2,Caen,Ajaccio,H,2.45,2.9,3.1,H,True
289,F2,Nancy,Guingamp,D,2.8,2.87,2.8,H,False
290,F2,Chateauroux,Auxerre,A,3.2,3.0,2.37,A,True
291,F2,Dunkerque,Clermont,D,2.87,3.0,2.6,A,False
292,F2,Grenoble,Toulouse,H,2.25,3.0,3.5,H,True
293,F2,Le Havre,Amiens,H,2.2,3.1,3.5,H,True
294,F2,Niort,Chambly,D,2.3,2.9,3.5,H,False
295,F2,Paris FC,Valenciennes,H,2.3,3.1,3.25,H,True
296,F2,Pau FC,Rodez,D,2.45,3.0,3.1,H,False
297,F2,Sochaux,Troyes,H,2.8,3.0,2.7,A,False
298,F2,Guingamp,Le Havre,A,2.05,3.2,3.8,H,False
299,F2,Amiens,Paris FC,A,2.2,3.1,3.5,H,False
300,F2,Auxerre,Clermont,A,2.5,3.1,2.9,H,False
301,F2,Chambly,Grenoble,A,3.1,3.1,2.37,A,True
302,F2,Niort,Nancy,H,2.7,3.2,2.62,A,False
303,F2,Rodez,Caen,A,2.8,3.2,2.5,A,True
304,F2,Troyes,Pau FC,H,1.83,3.25,4.75,H,True
305,F2,Valenciennes,Chateauroux,H,2.15,3.1,3.6,H,True
306,F2,Toulouse,Sochaux,D,2.2,3.2,3.3,H,False
307,F2,Clermont,Toulouse,D,2.0,3.0,4.0,H,False
308,F2,Caen,Chambly,D,1.8,3.0,4.75,H,False
309,F2,Chateauroux,Amiens,D,3.1,2.8,2.37,A,False
310,F2,Dunkerque,Valenciennes,H,3.6,2.9,2.25,A,False
311,F2,Grenoble,Ajaccio,H,2.15,2.9,3.4,H,True
312,F2,Le Havre,Niort,A,1.8,3.4,4.0,H,False
313,F2,Paris FC,Nancy,A,2.05,2.87,3.75,H,False
314,F2,Pau FC,Guingamp,A,3.6,2.87,2.15,A,True
315,F2,Sochaux,Rodez,D,2.05,2.9,3.8,H,False
316,F2,Auxerre,Troyes,H,2.62,2.87,2.75,H,True
317,F2,Toulouse,Auxerre,H,2.3,2.75,3.6,H,True
318,F2,Ajaccio,Sochaux,D,2.25,2.75,4.0,H,False
319,F2,Amiens,Pau FC,D,1.85,3.1,4.75,H,False
320,F2,Chambly,Chateauroux,H,2.25,2.87,3.75,H,True
321,F2,Guingamp,Grenoble,H,2.3,2.75,3.6,H,True
322,F2,Nancy,Le Havre,A,2.3,2.87,3.6,H,False
323,F2,Niort,Paris FC,D,2.62,2.8,3.0,H,False
324,F2,Rodez,Dunkerque,H,2.6,2.75,3.1,H,True
325,F2,Valenciennes,Caen,H,2.5,2.9,3.1,H,True
326,F2,Troyes,Clermont,H,2.3,2.8,3.5,H,True
327,F2,Ajaccio,Dunkerque,H,2.0,3.2,3.6,H,True
328,F2,Toulouse,Troyes,D,2.62,3.1,2.75,H,False
329,F2,Caen,Amiens,H,2.4,3.0,3.2,H,True
330,F2,Auxerre,Ajaccio,H,2.25,3.0,3.5,H,True
331,F2,Chateauroux,Niort,H,2.5,3.1,2.9,H,True
332,F2,Clermont,Rodez,H,1.9,3.2,4.33,H,True
333,F2,Dunkerque,Guingamp,H,3.2,3.1,2.3,A,False
334,F2,Grenoble,Valenciennes,H,2.1,3.1,3.8,H,True
335,F2,Paris FC,Le Havre,H,2.5,3.0,3.0,H,True
336,F2,Pau FC,Nancy,D,2.7,3.0,2.8,H,False
337,F2,Sochaux,Chambly,H,1.8,3.3,4.75,H,True
338,F2,Chambly,Clermont,A,4.33,3.0,2.0,A,True
339,F2,Valenciennes,Sochaux,D,2.45,3.1,3.0,H,False
340,F2,Ajaccio,Toulouse,A,2.1,3.1,3.8,H,False
341,F2,Amiens,Grenoble,H,2.3,3.1,3.2,H,True
342,F2,Le Havre,Chateauroux,D,1.85,3.25,4.5,H,False
343,F2,Nancy,Dunkerque,H,2.1,3.1,3.4,H,True
344,F2,Niort,Caen,H,2.8,2.9,2.6,A,False
345,F2,Paris FC,Pau FC,H,1.9,3.25,4.33,H,True
346,F2,Rodez,Troyes,A,3.1,3.1,2.4,A,True
347,F2,Guingamp,Auxerre,H,2.25,3.1,3.4,H,True
348,F2,Caen,Guingamp,H,2.75,3.1,2.6,A,False
349,F2,Auxerre,Chambly,H,1.75,3.2,5.25,H,True
350,F2,Chateauroux,Paris FC,A,3.2,3.0,2.4,A,True
351,F2,Clermont,Ajaccio,A,1.85,3.5,4.0,H,False
352,F2,Dunkerque,Le Havre,A,2.6,3.0,2.9,H,False
353,F2,Pau FC,Niort,H,2.5,2.87,3.2,H,True
354,F2,Toulouse,Rodez,H,2.0,3.2,4.0,H,True
355,F2,Troyes,Valenciennes,D,1.7,3.4,5.25,H,False
356,F2,Sochaux,Amiens,A,2.25,2.75,3.8,H,False
357,F2,Paris FC,Caen,H,2.3,3.0,3.3,H,True
358,F2,Ajaccio,Troyes,A,2.9,3.0,2.6,A,True
359,F2,Chambly,Dunkerque,A,2.9,3.0,2.55,A,True
360,F2,Guingamp,Sochaux,D,2.0,3.1,4.2,H,False
361,F2,Le Havre,Pau FC,H,2.15,3.1,3.6,H,True
362,F2,Nancy,Chateauroux,H,1.9,3.1,4.5,H,True
363,F2,Rodez,Auxerre,D,3.25,3.0,2.4,A,False
364,F2,Valenciennes,Clermont,A,3.8,3.0,2.15,A,True
365,F2,Amiens,Toulouse,A,2.25,2.9,3.5,H,False
366,F2,Clermont,Guingamp,D,2.15,3.2,3.2,H,False
367,F2,Grenoble,Le Havre,H,2.1,3.0,3.25,H,True
368,F2,Auxerre,Amiens,H,2.3,2.9,3.0,H,True
369,F2,Caen,Nancy,H,2.1,2.8,3.5,H,True
370,F2,Chateauroux,Pau FC,A,2.5,3.0,2.62,H,False
371,F2,Dunkerque,Paris FC,A,3.2,2.9,2.3,A,True
372,F2,Rodez,Ajaccio,A,2.8,2.9,2.4,A,True
373,F2,Sochaux,Niort,A,1.95,3.0,4.0,H,False
374,F2,Toulouse,Valenciennes,A,1.75,3.1,4.5,H,False
375,F2,Troyes,Chambly,D,1.5,3.5,6.0,H,False
376,F2,Le Havre,Caen,A,2.62,2.9,3.0,H,False
377,F2,Amiens,Clermont,D,2.9,3.1,2.5,A,False
378,F2,Chambly,Toulouse,D,3.8,3.3,2.0,A,False
379,F2,Chateauroux,Sochaux,H,2.9,2.9,2.7,A,False
380,F2,Niort,Dunkerque,A,2.3,3.2,3.2,H,False
381,F2,Paris FC,Auxerre,A,2.2,3.0,3.5,H,False
382,F2,Pau FC,Grenoble,A,3.1,2.7,2.7,D,False
383,F2,Valenciennes,Rodez,D,2.05,3.2,3.75,H,False
384,F2,Guingamp,Ajaccio,D,2.25,3.1,3.3,H,False
385,F2,Grenoble,Nancy,H,1.9,3.2,4.33,H,True
386,F2,Grenoble,Paris FC,D,2.4,3.0,3.2,H,False
387,F2,Toulouse,Niort,H,1.95,3.2,4.0,H,True
388,F2,Ajaccio,Chambly,D,1.83,3.2,4.75,H,False
389,F2,Auxerre,Valenciennes,D,1.75,3.3,5.5,H,False
390,F2,Caen,Chateauroux,D,1.75,3.3,4.5,H,False
